ID,text
A,"ユーザは、プライベートと大学で2つのアプリを用いてスケジュール管理を行っている。
大学のスケジュール管理は、大学提供のアプリで管理しており、プライベートでは、共有アプリを用いて管理している。共有アプリでは、家族と個人のスケジュールを管理できるスケジュールを2つ用意している。個人と家族のスケジュールの見分け方は、色を分けることで管理をしている。

ユーザが、共有スケジュールを使用して、個人と家族のスケジュールを分けて管理するようになった経緯は、家族とのスケジュールの共有ミス等があったことから共有を行うようになった。
共有アプリを使用する上での、困りごとには色分けをすることで誰の予定かを判断するようにしているが、スケジュール設定の際の色分けが面倒であることや色の設定を誤って設定することがある。

ユーザは、個人のスケジュールには、ある程度優先度をつけて管理をおこない、重要なスケジュールに対しては、通知設定をおこなうことで、ミス忘れを失くす工夫をしている。
重要な予定以外に通知設定を行わないのは、頻度が高くなると通知が頻繁にきて億劫になることと、慣れによる通知への気づきを防止するためである。

ユーザは、スマートフォンのアプリによる予定管理をしている。
スマートフォンのアプリを使用するのは、常に手に持っているデバイスで使用頻度が高いことからスマートフォンを用いた管理をしている。
スマートフォンで管理することでの困りごとは、地下等電波がない状況で予定の確認や追加をできないことである。このような状況の場合は手帳等に一時的にメモをとることで対策をしている。


ユーザは、授業やアルバイト、就職活動等の予定があり毎日複数の予定がある。
日々複数の予定があるために、アプリの不具合、既存の予定をあまり把握せずに予定を追加することで予定の重複が時々(月に数回程度)あることに困っている。
重要な予定は、メモとダブルチェックすることで、重複しないように心がけている。"
B,"ユーザは毎日、ふとした時にタイムツリーというアプリを開いて今日の予定を確認する
ユーザはスケージュールを確認する方法として、通知があるとやらないといけない気持ちになって圧を感じるため、見たいときに見れる方が、気持ちが楽。
ユーザは研究室のゼミ、勉強会。アルバイト。習い事。遊びやごはんといった内容をタイムツリーに入力する
ユーザは研究室のゼミや勉強会の予定をグーグルフォームで受け取ったあとに手動でタイムツリーに入力する
ユーザは受講登録など重要な予定をリマインダーにセットして、通知を受け取る
ユーザはリマインダーの通知は重要なイベントで、忘れてはいけない情報だと認識していため、煩わしく感じない
ユーザはアルバイトのシフトはアルバイト専用のアプリで管理している。
ユーザはアルバイトのシフト情報を専用アプリから取得し、手動でタイムツリーに入力する
ユーザはグーグルフォームやアルバイトのアプリから情報を取って、再度タイムツリーに入力する二度手間に煩わしさを感じる
ユーザはグーグルフォームやアプリと連携して、自動で情報を取ってくるような機能があれば、イベント忘れや二度手間が防げてうれしいと感じる。
ユーザは締め切りやマイルストーンをあたまの中で管理しており、他にも複数の予定があると多すぎて忘れる可能性がある
ユーザは予定が衝突した場合には研究室の予定をアルバイトなど他の予定よりも優先して調整する。
ユーザは、予定が入りすぎるとしんどいと感じるため、月に１回程度「なにもしない日」を意図的に作り、精神的な余裕を確保している。
ユーザは研究も含め予定(スケージュール)の共有は実施しない
ユーザはLINEで会う日などを連絡をとってからタイムツリーに入力する
ユーザはiPhoneのカレンダーに予定を追加すると通知が多すぎて煩わしいと感じる。
ユーザはカレンダーに線が引かれすぎると視覚的に煩わしく感じる
ユーザはタイムツリーに書き忘れの場合には、既存のイベントがあってもそれを消して登録し直す"
C,"ユーザは、高校1年生の時にスマホを所持するようになり、カレンダーアプリで予定管理するようになった。
ユーザが大学生になってからは、スマホとパソコンの両方で同じ操作が直感的にできる、共通フォーマットのアプリを利用するようになった。
ユーザは、高校1年生から大学3年生まで、全ての予定をカレンダーに追加していた。
しかし、ユーザは予定の追加を忘れてしまい、トラブルになることがあった。
また、ユーザは、予定を確認するためにアプリを開く手間が面倒である、定期的な予定が確認の邪魔になると感じていた。

ユーザは研究室に所属してから、アプリを開く手間を省くため、カレンダーのリマインダー機能を利用して、スマホの通知で予定を把握するようになった。
ユーザは、過去の体験から、リマインダー機能の利用に合わせて以下の改善を加えた。
ユーザは予定を把握次第、即カレンダーに追加する
ユーザがスマホの通知で予定確認できるようにするため、「予定名＋時間帯」でカレンダーに登録する
ユーザが予定名から場所が把握できるように、予定名を登録する
リマインダーの通知は、ユーザの毎朝起きる時間に届くようにする
ユーザは、毎朝起きたタイミングでリマインダーの通知を確認する
予定が終わった場合、ユーザは当該予定のリマインダー通知を削除する
　
ユーザには、リマインダー機能を利用するにあたり、スマホに届く通知の数が4件以上になると嫌になる問題点があった。
　そこで、ユーザはカレンダーに追加する予定に、以下の線引きを設けた。
　　定期的な予定（毎週のバイト、定例会）は、カレンダーに追加しない
　　2週間に1回の予定や突発的な変則的なものは、カレンダーに追加する
 
　ユーザが予定を忘れるなどのトラブルが起きたことはない。
ユーザは、現状の運用で以下の課題点が残っていると感じている。
　　ユーザがカレンダーにない定期的な予定を忘れてしまい、朝起きた時に気づくことがある
　　ユーザがカレンダーに予定を追加してから、後で予定の重複に気づくことがある
ユーザは、今の運用に加えて、予定の重複を検知する機能があるとよいと感じている。"
D,"ユーザは、2種類のアプリでスケジュールを管理しており、時間割とプライベートで分けている。
ユーザは、高校からアプリでスケジュールを管理している。大学で他の人の利用するアプリを知った。大学で、場所などを登録する項目が用意され、予定が確認しやすいことを理由にアプリを変えた。
ユーザは、重要な予定は、プライベートのアプリに登録している。
時間割で使用しているアプリは、大学のシステムと連携しているわけではなく、自分で入力する必要がある。
ユーザは、時間割を半期に1度登録している。
ユーザは、プライベートの予定は、日程が確定したタイミングで登録している。ただし、確定していない場合でも、候補日が連続している場合、登録している。登録のしやすさや、削除漏れを考慮して判断していると思われる。
プライベートで使用しているアプリは、月表示となっており、予定が同日に3～4以上重複した場合に表示されなくなってしまう。ユーザは、不便に感じているが、複数の予定を登録するケースが多くないため、許容できる範囲と考えているようである。
ユーザは、2種類利用しているアプリを1種類にすることに対し、情報量が多くなり見づらくなることが課題であると考えている。
ユーザは、2種類のアプリを併用することに対し、それぞれを交互に表示することを少し不便と考えているが、1つとした場合に、操作中の内容を残しておけないことになることが課題になると考えている。
ユーザは、パソコンで予定を確認する必要性を感じていない。
ユーザは、アプリで予定を管理しているデメリットとして、資料を予定に入れておけないことと、授業中などに確認しづらいことであると考えている。
ユーザは、スケジュールの管理について、他の人と共有する機能があれば、予定のリマインドとなり、便利になると考えている。"
E,"ユーザは、主に授業、研究室、プライベートの3つの予定についてスケジュール管理を行っている。
授業の予定については、登校した際に時間割のサイトを見て確認している。
宿題は授業後にすぐ着手するようにしている。
5割程度宿題を進めておけば記憶に定着するため、宿題に関してはツールを使った管理は行っていない。
宿題は不定期に発生するため、たまに忘れてしまうことがある。
カレンダーに宿題の予定を登録することも考えたが、1週間以上の予定としてカレンダーに入ってしまうのが鬱陶しいため管理はしないことにした。
研究室の予定については、教授から共有されたグーグルスプレッドシートで確認するようにしている。
スプレッドシートはオンラインで編集することができるため、予定の変更が即座に反映される。
毎日ユーザ自身で研究室の予定を確認するようにしている。
研究室の予定を確認するタイミングとしては、寝る前の時間帯が比較的多い。
スマホでスプレッドシートを開くことができるため、予定の確認について手間に感じてはいない。
ユーザが発表する日時が決まったときは、自分のグーグルカレンダーにも予定を追加するようにしている。
発表の予定について忘れることはないが、毎回タイトルを「発表」で登録しているため、準備する内容について忘れてしまうことがある。
プライベートの予定についても同様に、グーグルカレンダーに登録することにしている。
すべての予定をグーグルカレンダーに登録できているわけではない。
プライベートの予定に関しては、5割程度がグーグルカレンダーに登録されている。
例えば、だれかと話し込んでいてスマホを取り出しにくいときには、グーグルカレンダーに予定を登録する作業を後回しにしてしまう。
グーグルカレンダーに登録しなかった予定について、たまに忘れてしまうことがある。
誰かと話しているときには手帳などを取り出してメモを取るべきとユーザは考えているが、手帳や筆記用具は携帯していないことが多い。
ユーザは手帳を携帯することで荷物が増えることを負担に感じているため、スマホでスケジュール管理を完結させたいと考えている。
研究室の予定とプライベートの予定の両方をグーグルカレンダーに登録している。
研究室の予定とプライベートの予定は色分けして登録するようにしているので、どちらの予定か一目で把握することができている。
休みの日にプライベート以外の予定が目に入ることを負担に感じている。"
F,"ユーザは仕事の予定はOutlook、私用はiPhoneのカレンダーで管理している。
仕事のカレンダーは他の人に見られるため、プライベートな予定は入れたくない。
予定がバラバラだと、たまにダブルブッキングをしてしまい不便。
できればOutlookに私用も入れたいが、見られない設定があるとうれしい。
予定の重要度に合わせてリマインダーの回数を変えられたら助かる。
たとえば★なら2回、●なら1回という感じだ。
リマインダーから自動でメール送れる機能や、定期予定が自動で入るとうれしい。"
G,"ユーザは予定を3つの方法で管理している。
①研究室のホワイトボード：書くだけで一番ラク。すぐ横にあり、すぐ見える。
②Gmailリマインダー：前日に自分宛に送信。タイトルに日付内容場所を入れて一目で分かるように。プライベートはこれが多い。
③Outlookで自分にメール：よく目につくので忘れにくい。
どれを使うかは気分。かぶってもOKで、忘れるリスクが減るから安心。
予定を入力するまでの手間が少ない方法が好み。紙の手帳はハードルが高い。
カレンダーアプリはあまり使わず、一覧で見える方が見やすい。
改善してほしい点は、Gmailで毎回送信予約をする手間。
プリントを撮って自動で予定作成＆送信予約してくれると嬉しい。
添付ファイルつきの送信予約もできるとさらに便利。"
H,"ユーザは、バイトシフトの予定を入れようとして、予定が空いている日の確認をはじめた。まず研究室のExcelファイルを開いて予定確認したのち、自身のiPhoneに入っているカレンダーアプリを見た。カレンダーアプリは予定が一覧表示されるようになっているため、一目見たときいつ予定が空いているか直感的にわかりづらく、バイトの予定を入れるのに時間がかかった。

ユーザは、授業の30分前にスマートフォンで講義予定を確認するようにしている。基本的に自分が履修している講義がいつなのかは忘れないようにしているが、万が一失念してしまい欠席することのないように、都度履修スケジュールを確認している。

ユーザは、Web上で予約したレストランや飛行機の予定がいつなのかが自動でアプリに登録されているのが便利であると感じている。予定登録の際、その予定にどのくらい金額が掛かるか、その場所に行くまでに自分が今いる場所からどういう経路をたどる必要があるか、大体の目安を教えてくれるとより便利であると思った。

ユーザは、プライベートの予定を都度カレンダーアプリに登録するようにしている。予定が近づくとリマインドする機能があるが、予定の重要度に合わせて、リマインドする時間が変わるとよいと思った。（重要な予定は１時間前に、あまり優先度高くない予定は１５分前にリマインドしてくれる）

ユーザは、バイトの予定を入れるにあたりバイト先でいつシフトが空いているか確認するようにしているが、バイト先スタッフの手違いで、既にシフトが埋まっている枠に予定を入れてしまっていることがわかった。バイト先のシフトスケジュールが現状どうなっているかをカレンダーアプリで都度確認できるようになっていれば、ブッキングを回避できて時間を無駄にすることもないのにと思った。

日常の予定管理にはiPhoneのカレンダーアプリで管理。
研究室関連の予定は、研究室のExcelで管理している。
カレンダーアプリは、予定が複数入っていると見栄えが悪くなる。"
I,"	ユーザは、アルバイトの予定、研究室の発表予定、プライベートの予定を管理している。
	ユーザは、カレンダーアプリには定期的な予定とユーザにとって重要な予定を登録している。
	ユーザは、ユーザの友人とカレンダーを共有している。
	ユーザは、アルバイト先が月2回発表するシフトを確認する。
	シフトを確認後、ユーザはシフトボードアプリに自身のシフト（日付、勤務時間）を入力する。
	入力されたシフトは、シフトボードアプリによってカレンダーアプリに自動連携される。
	ユーザは、連携されたカレンダーアプリのアルバイトの予定に対し、予定時刻の1時間前に通知されるようリマインダーを設定する。
	ユーザは、指導教員から発表された研究室の予定を確認する。
	予定を確認後、研究室の予定（日付、イベント名）をカレンダーアプリに入力する。
	ユーザは、一日に最大で3つ程度の予定を登録する。
	ユーザの友人Aも同様に、一日に最大で3つ程度の予定を登録する。
	登録されている予定の数が多くなると、一覧表ですべての予定を確認できなくなる。
	ユーザとユーザの友人Aの間で決めた予定をカレンダーに登録するとき、互いに互いが予定を登録すると思い込み、予定の登録を忘れることがある。"
J,"ユーザは2種類のスマートフォンアプリを用途に応じて使い分けてスケジュールを管理している。現状は目的に応じてうまく使い分けできているため不満は感じていないが１つのアプリに機能が集約されるとより一層便利になるかもしれないとユーザは感じている。
ユーザはパソコンや紙を用いたスケジュール管理は行なっていない。

ユーザは1か月の予定を一目で確認するためにTimetreeというアプリを使用している。
ユーザがTimetreeに登録している内容は、予定の概要、日付、場所である。
ユーザはTimetreeに学業とプライベート両方の予定を登録している。
ユーザはTimetreeにバイトの1週間分のシフトが分かったタイミングに1週間分を登録している。
ユーザがTimetreeの予定を確認するタイミングに決まりはないが、予定が近づいてきたころや移動中に確認することが多い。
ユーザは１日の中に複数予定があると予定が確認しづらい点に不満を感じている。
Timetreeは登録できる情報が少なく、また複数登録すると文字が細かくなる仕様がある。
Timetreeで予定詳細を確認するためにはタップする必要があり、一目で確認することができない。
Timetreeでは予定が上詰めに表示され、時間軸での表示がされないためユーザは分かりづらいと感じている。

ユーザは1週間の授業予定を確認するために時間割確認アプリを使用している。
ユーザが時間割確認アプリに登録している内容は学業に関するもののみであり、具体的には授業名、日時、場所、ゼミである。
ユーザが時間割確認アプリに予定を登録するタイミングは半期毎の履修登録期間である。
ユーザが時間割確認アプリの予定を確認するタイミングは授業開始前である。ただし、履修を開始してから約3か月目以降は時間割を覚えてくるため確認する機会が減る傾向にある。"
K,"ユーザは自身の学生生活におけるプライベートの予定をスマートフォンのアプリを使って管理している。
ユーザは講義やアルバイトの予定など、毎週の繰り返しの予定に関しては、習慣として行動をしているのでAppなどのツールは使用していない。
ユーザは、以前はカレンダーAppのみを使っていたが、（忘れっぽい性格のため、）予定を忘れることがあったため、ToDo Appを併用することにした。
ユーザは1画面で当日の予定を確認したいため、Appの表示上限数の3件以上の登録を嫌っている。
ユーザは同日に５つの予定が入る場合があり、その場合は表示が省略されてしまい困っている。
ユーザはカレンダーAppに詳細を記載しており、詳細を確認するために4タップ必要なことを煩わしく感じている。
ユーザはスマートフォンのホーム画面をよく使うApp一覧にして、左右のページにカレンダーAppとToDo Appの内容を表示して使用している。
ユーザはカレンダーAppとToDo　Appの内容を確認するために画面を左右にスワイプしなければならないことに煩わしさを感じている。
ユーザはカレンダーAppとToDo Appの登録を個別に手作業で行っているが、ToDo Appに予定を入れ忘れて、予定を完了できなかったことがある。
ユーザはスケジュールに日程の変更があった場合に、2つのAppをそれぞれ修正することに煩わしさを感じている。
ユーザは書類申請など開始日と締め日があるような予定に対して、開始日はToDo Appで管理し、締め日はカレンダーAppで管理するように使い分けている。

ユーザが使用しているカレンダーAppは同日で表示できるスケジュールは3件までで、4件目以降は省略されて表示がされない仕様である。"
